month,year,lat_range,adult_first_sight_dates,adult_first_sight_number,adult_first_sight_distinct_dates
6,2013,45+_TO_50,50,50,24
6,2013,4O+_TO_45,160,160,29
6,2013,5O+_OR_GREATER,3,3,2
6,2014,25+_TO_30,3,3,3
6,2014,30+_TO_35,14,14,10
6,2014,35+_TO_40,73,76,29
6,2014,45+_TO_50,59,59,25
6,2014,4O+_TO_45,187,187,30
6,2014,5O+_OR_GREATER,1,1,1
6,2015,25+_TO_30,1,1,1
6,2015,30+_TO_35,6,6,6
6,2015,35+_TO_40,87,89,29
6,2015,45+_TO_50,118,119,27
6,2015,4O+_TO_45,299,301,30
6,2015,5O+_OR_GREATER,2,2,2
6,2016,25+_TO_30,2,5,2
6,2016,30+_TO_35,17,20,13
6,2016,35+_TO_40,102,116,29
6,2016,45+_TO_50,94,113,27
6,2016,4O+_TO_45,278,320,30
6,2016,5O+_OR_GREATER,1,1,1
6,2017,25+_TO_30,1,2,1
6,2017,30+_TO_35,6,8,6
6,2017,35+_TO_40,81,90,28
6,2017,45+_TO_50,141,176,29
6,2017,4O+_TO_45,403,488,30
6,2017,5O+_OR_GREATER,5,7,4
6,2018,25+_TO_30,3,4,3
6,2018,30+_TO_35,5,10,4
6,2018,35+_TO_40,74,92,25
6,2018,45+_TO_50,66,85,23
6,2018,4O+_TO_45,254,317,30
6,2018,5O+_OR_GREATER,5,5,4
6,2019,25+_TO_30,2,3,2
6,2019,30+_TO_35,9,11,9
6,2019,35+_TO_40,84,99,28
6,2019,45+_TO_50,115,181,24
6,2019,4O+_TO_45,319,364,30
6,2019,5O+_OR_GREATER,5,7,5
6,2020,25+_TO_30,1,1,1
6,2020,30+_TO_35,12,15,11
6,2020,35+_TO_40,120,131,30
6,2020,45+_TO_50,126,166,28
6,2020,4O+_TO_45,439,487,30
6,2020,5O+_OR_GREATER,18,20,13
7,1998,30+_TO_35,1,1,1
7,1998,35+_TO_40,1,1,1
7,1998,45+_TO_50,1,1,1
7,1998,4O+_TO_45,7,7,5
7,1999,35+_TO_40,1,1,1
7,1999,4O+_TO_45,4,4,4
7,2000,35+_TO_40,1,1,1
7,2000,4O+_TO_45,3,3,3
7,2001,30+_TO_35,1,1,1
7,2001,35+_TO_40,5,5,4
7,2001,45+_TO_50,1,1,1
7,2001,4O+_TO_45,6,6,5
7,2002,30+_TO_35,3,3,2
7,2002,35+_TO_40,8,8,7
7,2002,45+_TO_50,2,2,2
7,2002,4O+_TO_45,30,30,19
7,2003,4O+_TO_45,4,4,4
7,2004,25+_TO_30,1,1,1
7,2004,30+_TO_35,1,1,1
7,2004,35+_TO_40,3,3,3
7,2004,45+_TO_50,2,2,2
7,2004,4O+_TO_45,10,10,7
7,2005,25+_TO_30,1,1,1
7,2005,30+_TO_35,1,1,1
7,2005,35+_TO_40,11,11,10
7,2005,45+_TO_50,1,1,1
7,2005,4O+_TO_45,24,24,12
7,2006,25+_TO_30,1,1,1
7,2006,35+_TO_40,4,4,4
7,2006,45+_TO_50,1,1,1
7,2006,4O+_TO_45,20,20,14
7,2006,5O+_OR_GREATER,2,2,2
7,2007,25+_TO_30,2,2,2
7,2007,30+_TO_35,1,1,1
7,2007,35+_TO_40,5,5,5
7,2007,45+_TO_50,5,5,4
7,2007,4O+_TO_45,12,12,10
7,2007,5O+_OR_GREATER,3,3,2
7,2008,35+_TO_40,12,12,10
7,2008,45+_TO_50,13,13,7
7,2008,4O+_TO_45,14,14,9
7,2009,20+_TO_25,2,2,1
7,2009,25+_TO_30,2,2,2
7,2009,30+_TO_35,22,22,14
7,2009,35+_TO_40,9,9,9
7,2009,45+_TO_50,6,6,6
7,2009,4O+_TO_45,36,36,23
7,2010,30+_TO_35,8,8,6
7,2010,35+_TO_40,22,22,16
7,2010,45+_TO_50,9,9,9
7,2010,4O+_TO_45,30,30,20
7,2010,5O+_OR_GREATER,2,2,2
7,2011,25+_TO_30,1,1,1
7,2011,30+_TO_35,4,4,4
7,2011,35+_TO_40,21,21,15
7,2011,45+_TO_50,8,8,8
7,2011,4O+_TO_45,55,55,25
7,2011,5O+_OR_GREATER,1,1,1
7,2012,25+_TO_30,4,4,3
7,2012,30+_TO_35,5,5,5
7,2012,35+_TO_40,23,23,13
7,2012,45+_TO_50,8,8,6
7,2012,4O+_TO_45,23,23,14
7,2013,20+_TO_25,1,1,1
7,2013,30+_TO_35,19,19,16
7,2013,35+_TO_40,68,77,27
7,2013,45+_TO_50,27,27,17
7,2013,4O+_TO_45,185,185,31
7,2013,5O+_OR_GREATER,1,1,1
7,2014,30+_TO_35,6,6,5
